Publisher,NumberofJournals,NumberofOAJournals,NumberofArticles,NumberofOAArticles,5-YearCitedArticles,5-YearCitations,year,Publisher short
American Chemical Society (ACS),54,1,43105,3296,5925716,281428,2015,
American Chemical Society (ACS),56,1,47954,3556,5925716,281428,2016,
American Chemical Society (ACS),59,1,52469,4897,5925716,281428,2017,
American Chemical Society (ACS),63,1,58813,5097,5925716,281428,2018,
American Chemical Society (ACS),64,1,61484,5754,5925716,281428,2019,
American Chemical Society (ACS),70,1,64167,4609,5925716,281428,2020,
American Chemical Society (ACS),79,N/A,66420,10622,5925716,281428,2021,
American Chemical Society (ACS),81,N/A,67877,12553,5925716,281428,2022,
American Chemical Society (ACS),83,2,56388,11561,5925716,281428,2023,
American Physical Society (APS),12,7,18285,14952,1406443,96933,2015,
American Physical Society (APS),13,N/A,19206,9529,1406443,96933,2016,
American Physical Society (APS),14,N/A,19817,6480,1406443,96933,2017,
American Physical Society (APS),16,N/A,22647,6274,1406443,96933,2020,
American Physical Society (APS),16,N/A,21459,5619,1406443,96933,2021,
American Physical Society (APS),18,2,16259,4622,1406443,96933,2023,
BMJ,50,14,24095,7565,968214,68893,2015,
BMJ,54,18,23903,8175,968214,68893,2016,
BMJ,59,20,23563,14403,968214,68893,2020,
BMJ,59,20,24197,15646,968214,68893,2021,
BMJ,60,22,22502,14415,968214,68893,2022,
BMJ,63,26,16761,11131,968214,68893,2023,
Cambridge University Press (CUP),377,31,28013,2542,615591,75583,2015,
Cambridge University Press (CUP),380,29,28365,2943,615591,75583,2016,
Cambridge University Press (CUP),380,27,30027,5053,615591,75583,2017,
Cambridge University Press (CUP),376,22,29674,4447,615591,75583,2018,
Cambridge University Press (CUP),377,23,29849,6578,615591,75583,2019,
Cambridge University Press (CUP),381,28,31810,9101,615591,75583,2020,
Cambridge University Press (CUP),384,28,31051,7758,615591,75583,2021,
Cambridge University Press (CUP),383,33,27529,9658,615591,75583,2022,
Cambridge University Press (CUP),391,46,22154,9646,615591,75583,2023,
Egypts Presidential SCESR,557,53,21995,5498,28066,12712,2018,
Egypts Presidential SCESR,629,46,26680,6756,28066,12712,2019,
Egypts Presidential SCESR,652,22,30765,4061,28066,12712,2020,
Egypts Presidential SCESR,723,5,38600,10,28066,12712,2021,
Egypts Presidential SCESR,741,5,38084,14,28066,12712,2022,
Egypts Presidential SCESR,728,12,28772,1599,28066,12712,2023,
Elsevier BV,2436,425,632214,94144,48705991,2818905,2015,
Elsevier BV,2495,443,642459,111938,48705991,2818905,2016,
Elsevier BV,2488,399,652349,101899,48705991,2818905,2017,
Elsevier BV,2484,369,765730,101989,48705991,2818905,2018,
