Country,Number_of_Articles,Number of Open Access Articlesinfo,5-Year Cited Articlesinfo,5-Year Citationsinfo,,Country2,Date-pop,Population_1000,Taux_open,Pub_hab,rowid,Country3
Afghanistan,698,577,36782,68936,,Afghanistan,2022,41128.77,"0,826647564469914","0,016971088607804",2,Afghanistan
Albania,763,556,124529,143266,,Albania,2022,2775.63,"0,72870249017038","0,274892546917276",5,Albania
Algeria,5119,2122,609088,1491044,,Algeria,2022,44903.22,"0,414534088689197","0,114000733132279",62,Algeria
Andorra,37,25,5741,10778,,Andorra,2022,79.82,"0,675675675675676","0,463542971686294",7,Andorra
Angola,189,145,19094,36935,,Angola,2022,35588.99,"0,767195767195767","0,00531063118116",3,Angola
Antigua and Barbuda,126,82,1788,9425,,Antigua and Barbuda,2022,93.76,"0,650793650793651","1,3438566552901",15,Antigua
Argentina,11955,6714,4050686,5928662,,Argentina,2022,46234.83,"0,561606022584693","0,258571297872189",9,Argentina
Armenia,1201,491,223331,331111,,Armenia,2022,2780.47,"0,408825978351374","0,431941362431531",10,Armenia
Aruba,36,24,3124,6276,,Aruba,2022,106.44,"0,666666666666667","0,338218714768884",205,Ascension Island
Australia,71597,41982,46330040,49379880,,Australia,2022,25978.94,"0,586365350503513","2,75596309934124",13,Australia
Austria,18541,12934,11654084,12111423,,Austria,2022,9042.53,"0,697589126800065","2,05042172931691",17,Austria
Azerbaijan,1174,651,114341,222188,,Azerbaijan,2022,10175.02,"0,554514480408859","0,115380608588484",18,Azerbaijan
Bahamas,67,28,15691,27312,,Bahamas The,2022,409.98,"0,417910447761194","0,16342260598078",26,Bahamas
Bahrain,868,536,114107,242941,,Bahrain,2022,1472.23,"0,617511520737327","0,589581790888652",25,Bahrain
Bangladesh,9493,5989,1139714,2327105,,Bangladesh,2022,171186.37,"0,63088591593806","0,055454181311281",23,Bangladesh
Barbados,209,135,65785,58747,,Barbados,2022,281.63,"0,645933014354067","0,742108440151972",34,Barbados
Belarus,1954,1192,337546,577624,,Belarus,2022,9208.7,"0,610030706243603","0,212190645802339",29,Belarus
Belgium,24331,12971,17975242,16902938,,Belgium,2022,11669.45,"0,533105914265752","2,08501686026334",20,Belgium
Belize,81,54,51155,37568,,Belize,2022,405.27,"0,666666666666667","0,199866755496336",30,Belize
Benin,807,575,99941,197935,,Benin,2022,13352.86,"0,712515489467162","0,060436490759283",21,Benin
Bermuda,30,17,41123,35945,,Bermuda,2022,63.53,"0,566666666666667","0,472217849834724",31,Bermuda
Bhutan,216,135,17771,36899,,Bhutan,2022,782.46,"0,625","0,276052449965493",36,Bhutan
Bolivia,829,580,188302,217641,,Bolivia,2022,12224.11,"0,699638118214717","0,067816798114546",32,Bolivia
Bosnia and Herzegovina,1272,792,121556,2786,,Bosnia and Herzegovina,2022,3233.53,"0,622641509433962","0,393378134732011",27,Bosnia and Herzegovina
Botswana,607,378,126686,219747,,Botswana,2022,2630.3,"0,622734761120264","0,23077215526746",37,Botswana
Brazil,87803,57933,17119234,29231506,,Brazil,2022,215313.5,"0,659806612530324","0,407791429705987",33,Brazil
British Virgin Islands,9,2,850,1572,,British Virgin Islands,2022,31.3,"0,222222222222222","0,287539936102236",,
